BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48459.2,20921.61
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,47698.05,11549.46
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3223.24,493.3
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28296.5,8392.5
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11005.4,3637.93
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3762.08,793.85
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1224121.16,366434.99
M001184,HON. THOMAS MASSIE,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1224121.16,366434.99
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2447.14,401.1
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,995974.59,294289.31
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31268.39,2788.4
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,124591.64,31279.67
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,698.75,265.22
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39723.31,13705.66
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5658.21,761.93
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3330.53,847.23
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1203692.56,344338.52
M001163,HON. DORIS MATSUI,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1203692.56,344338.52
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9557.06,1268.43
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,974741.64,280250
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40661.98,4057.09
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,120896.55,27723.37
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13765.47,2639.02
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,52109.11,13087.13
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19217.59,3306.11
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9061.06,1280.21
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1240010.46,333611.36
M001165,HON. KEVIN MCCARTHY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1240010.46,333611.36
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4325.32,656.18
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,914917.01,268920.02
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,61322.17,17791.02
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,103458.98,26529.68
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2622.5,664.49
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29926.05,9664.5
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28035.44,16209.4
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3348.37,1878.46
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1147955.84,342313.75
M001157,HON. MICHAEL T. MCCAUL,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1147955.84,342313.75
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5082.98,208.69
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1009762.29,258689.97
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,64047.21,16490.16
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,110620.34,23961.01
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1046.93,12.75
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22884.5,5729.85
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31763.63,23121.94
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2463.48,615.87
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1247671.36,328830.24
M001177,HON. TOM MCCLINTOCK,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1247671.36,328830.24
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1277.39,315.83
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,976500.78,284031.32
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33638.27,12709.51
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,91849.96,23967.66
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2855.72,1052.7
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21134.19,5805
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28924.66,7713.96
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16990.64,1560.38
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1173171.61,337156.36
M001143,HON. BETTY MCCOLLUM,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1173171.61,337156.36
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2738.29,2177.61
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1085469.97,311958.31
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,59687.56,11728.83
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,83899.65,21796.26
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1284.75,743.95
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,49708.32,14672.1
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12044.34,2792.26
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1188,297
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1296020.88,366166.32
M000404,HON. JIM MCDERMOTT,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1296020.88,366166.32
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1095.93,280.78
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,961602.62,286874.98
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31436.77,10853.54
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,127366.26,32621.41
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13719.63,83.68
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,48160,17500
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19990.98,5699.75
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11193.2,1986.3
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1214565.39,355900.44
M000312,HON. JAMES P. MCGOVERN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1214565.39,355900.44
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,29671.13,3196.38
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,993386.47,298294.25
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34979.92,4826.7
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,41237.47,9324.53
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21196.87,458.55
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20218.25,5355
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,42378.17,27344.27
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3550.7,808.2
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1186618.98,349607.88
M001156,HON. PATRICK T. MCHENRY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1186618.98,349607.88
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,34921,749.49
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,865082.49,262852.78
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39154.98,7053.21
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,71863.13,13772.29
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39675.16,786.69
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19872.65,4900.95
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16264.59,6702.51
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1084.8,271.2
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1087918.8,297089.12
M001180,HON. DAVID B. MCKINLEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1087918.8,297089.12
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4796.91,968.76
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,986770.55,248961.18
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,96590.61,29728.95
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,88643.4,20850.75
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,917.37,199.7
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29115,7325
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8013.13,1904.29
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14288.74,712.34
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1229135.71,310650.97
M001159,HON. CATHY MCMORRIS RODGERS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1229135.71,310650.97
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,900.23,296.73
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1060477.92,283850.03
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34511.41,6614.9
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,107273.73,23046.35
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,495.25,81.75
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24416.05,6490
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20463.45,2528.14
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2995.32,699.96
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1251533.36,323607.86
M001166,HON. JERRY MCNERNEY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1251533.36,323607.86
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,76643.01,11889.05
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,978018.12,293860.12
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,54628.76,20658.98
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,55081.22,11204.16
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,71777.75,1357.14
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39284.72,9886.07
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9707.89,4927.69
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3690.05,922.46
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1288831.52,354705.67
M001197,HON. MARTHA MCSALLY,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1288831.52,354705.67
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6646.25,817.67
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,990960.51,292641.1
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42004.49,9404.72
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,33460.16,9335.99
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5868.38,2622.58
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21565.39,6098.19
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21042.26,9666.83
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4868.23,1195.65
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1126415.67,331782.73
M001187,HON. MARK MEADOWS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1126415.67,331782.73
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,84972.44,8707.63
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,820212.87,209029.03
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18957.28,7273.8
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,103247.13,17910.34
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,52900.87,46341.32
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20795,5655
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,49783.6,42771.96
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11516.52,8852.52
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1162385.71,346541.6
M001181,HON. PATRICK MEEHAN,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1162385.71,346541.6
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,215.27,67.35
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,842979.51,214528.58
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14778.94,4365.15
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,226028.35,57137.38
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2971.82,637.07
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27785.52,6078.87
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,27243.58,4778.47
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13702.76,10526.52
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1155705.75,298119.39
M001137,HON. GREGORY W. MEEKS,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1155705.75,298119.39
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,704.02,290.83
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,988183.29,297699.96
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10690.06,2435.32
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,137362.52,34874.7
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6996.54,3707.72
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28100,7855
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16241.35,4548.29
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4074.6,2453.88
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1192352.38,353865.7
M001188,HON. GRACE MENG,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1192352.38,353865.7
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,32380.24,231.01
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,845543.8,246169.8
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30051.69,8802.91
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,60728.5,15103.41
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,55734.89,2249.72
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37687.63,11547.13
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13906.64,6283.85
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6471.99,1404
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1082505.38,291791.83
M001189,HON. LUKE MESSER,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1082505.38,291791.83
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,32127.62,2248.55
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,933985.42,243944.44
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36643.4,11927.1
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,117247.6,28640.51
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,26831.1,5682.36
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41783.5,9405
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,24819.83,9110.16
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4392,1098
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1217830.47,312056.12
M000689,HON. JOHN L. MICA,2016,2016Q4,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1217830.47,312056.12
