BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT,
K000188,HON. RON KIND,2015,2015Q1,TRAVEL,"21,980.73","21,980.73",
K000188,HON. RON KIND,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","11,667.79","11,667.79",
K000188,HON. RON KIND,2015,2015Q1,PRINTING AND REPRODUCTION,"1,902.50","1,902.50",
K000188,HON. RON KIND,2015,2015Q1,OTHER SERVICES,"6,340.00","6,340.00",
K000188,HON. RON KIND,2015,2015Q1,SUPPLIES AND MATERIALS,"4,705.71","4,705.71",
K000188,HON. RON KIND,2015,2015Q1,EQUIPMENT,485.52,485.52,
K000210,HON. PETER T. KING,2015,2015Q1,FRANKED MAIL,35.1,35.1,
K000210,HON. PETER T. KING,2015,2015Q1,PERSONNEL COMPENSATION,"190,162.08","190,162.08",
K000210,HON. PETER T. KING,2015,2015Q1,TRAVEL,"5,504.61","5,504.61",
K000210,HON. PETER T. KING,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","24,327.36","24,327.36",
K000210,HON. PETER T. KING,2015,2015Q1,PRINTING AND REPRODUCTION,"1,174.55","1,174.55",
K000210,HON. PETER T. KING,2015,2015Q1,OTHER SERVICES,"12,135.00","12,135.00",
K000210,HON. PETER T. KING,2015,2015Q1,SUPPLIES AND MATERIALS,"5,163.76","5,163.76",
K000210,HON. PETER T. KING,2015,2015Q1,EQUIPMENT,"1,379.76","1,379.76",
K000362,HON. STEVE KING,2015,2015Q1,FRANKED MAIL,152.54,152.54,
K000362,HON. STEVE KING,2015,2015Q1,PERSONNEL COMPENSATION,"194,371.48","194,371.48",
K000362,HON. STEVE KING,2015,2015Q1,TRAVEL,"9,808.14","9,808.14",
K000362,HON. STEVE KING,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","19,643.69","19,643.69",
K000362,HON. STEVE KING,2015,2015Q1,PRINTING AND REPRODUCTION,93.95,93.95,
K000362,HON. STEVE KING,2015,2015Q1,OTHER SERVICES,"10,039.02","10,039.02",
K000362,HON. STEVE KING,2015,2015Q1,SUPPLIES AND MATERIALS,"9,750.23","9,750.23",
K000362,HON. STEVE KING,2015,2015Q1,EQUIPMENT,"1,898.25","1,898.25",
K000378,HON. ADAM KINZINGER,2015,2015Q1,FRANKED MAIL,404.91,404.91,
K000378,HON. ADAM KINZINGER,2015,2015Q1,PERSONNEL COMPENSATION,"202,112.21","202,112.21",
K000378,HON. ADAM KINZINGER,2015,2015Q1,TRAVEL,"11,267.62","11,267.62",
K000378,HON. ADAM KINZINGER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,055.65","18,055.65",
K000378,HON. ADAM KINZINGER,2015,2015Q1,PRINTING AND REPRODUCTION,198.9,198.9,
K000378,HON. ADAM KINZINGER,2015,2015Q1,OTHER SERVICES,"6,171.72","6,171.72",
K000378,HON. ADAM KINZINGER,2015,2015Q1,SUPPLIES AND MATERIALS,"4,125.16","4,125.16",
K000378,HON. ADAM KINZINGER,2015,2015Q1,EQUIPMENT,"1,017.00","1,017.00",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,FRANKED MAIL,250.54,250.54,
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,PERSONNEL COMPENSATION,"239,092.98","239,092.98",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,TRAVEL,"9,020.24","9,020.24",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,436.37","15,436.37",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,PRINTING AND REPRODUCTION,"1,765.20","1,765.20",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,OTHER SERVICES,"5,175.00","5,175.00",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,SUPPLIES AND MATERIALS,"1,079.64","1,079.64",
K000368,HON. ANN KIRKPATRICK,2015,2015Q1,EQUIPMENT,450,450,
K000363,HON. JOHN KLINE,2015,2015Q1,FRANKED MAIL,"2,025.36","2,025.36",
K000363,HON. JOHN KLINE,2015,2015Q1,PERSONNEL COMPENSATION,"198,617.22","198,617.22",
K000363,HON. JOHN KLINE,2015,2015Q1,TRAVEL,"10,246.12","10,246.12",
K000363,HON. JOHN KLINE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,458.14","18,458.14",
K000363,HON. JOHN KLINE,2015,2015Q1,PRINTING AND REPRODUCTION,359.37,359.37,
K000363,HON. JOHN KLINE,2015,2015Q1,OTHER SERVICES,"21,795.40","21,795.40",
K000363,HON. JOHN KLINE,2015,2015Q1,SUPPLIES AND MATERIALS,"3,084.11","3,084.11",
K000363,HON. JOHN KLINE,2015,2015Q1,EQUIPMENT,214.2,214.2,
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,FRANKED MAIL,8.79,8.79,
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,PERSONNEL COMPENSATION,"107,572.24","107,572.24",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,TRAVEL,"17,912.73","17,912.73",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","13,102.65","13,102.65",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,PRINTING AND REPRODUCTION,"1,597.00","1,597.00",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,OTHER SERVICES,"7,320.00","7,320.00",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,SUPPLIES AND MATERIALS,"7,350.03","7,350.03",
K000387,HON. STEPHEN KNIGHT,2015,2015Q1,EQUIPMENT,"1,765.88","1,765.88",
K000382,HON. ANN M. KUSTER,2015,2015Q1,FRANKED MAIL,315.78,315.78,
K000382,HON. ANN M. KUSTER,2015,2015Q1,PERSONNEL COMPENSATION,"207,045.18","207,045.18",
K000382,HON. ANN M. KUSTER,2015,2015Q1,TRAVEL,"7,216.48","7,216.48",
K000382,HON. ANN M. KUSTER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","26,519.09","26,519.09",
K000382,HON. ANN M. KUSTER,2015,2015Q1,PRINTING AND REPRODUCTION,431.9,431.9,
K000382,HON. ANN M. KUSTER,2015,2015Q1,OTHER SERVICES,"6,847.00","6,847.00",
K000382,HON. ANN M. KUSTER,2015,2015Q1,SUPPLIES AND MATERIALS,"4,662.25","4,662.25",
K000382,HON. ANN M. KUSTER,2015,2015Q1,EQUIPMENT,830.19,830.19,
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,FRANKED MAIL,309.46,309.46,
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,PERSONNEL COMPENSATION,"192,866.75","192,866.75",
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,TRAVEL,"17,123.48","17,123.48",
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,903.79","15,903.79",
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,PRINTING AND REPRODUCTION,317.45,317.45,
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,OTHER SERVICES,"8,819.00","8,819.00",
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,SUPPLIES AND MATERIALS,"2,386.99","2,386.99",
L000573,HON. RAUL R. LABRADOR,2015,2015Q1,EQUIPMENT,342.99,342.99,
L000578,HON. DOUG LAMALFA,2015,2015Q1,FRANKED MAIL,356.98,356.98,
L000578,HON. DOUG LAMALFA,2015,2015Q1,PERSONNEL COMPENSATION,"218,847.78","218,847.78",
L000578,HON. DOUG LAMALFA,2015,2015Q1,TRAVEL,"29,775.33","29,775.33",
L000578,HON. DOUG LAMALFA,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","16,754.39","16,754.39",
L000578,HON. DOUG LAMALFA,2015,2015Q1,PRINTING AND REPRODUCTION,62.35,62.35,
L000578,HON. DOUG LAMALFA,2015,2015Q1,OTHER SERVICES,"11,415.00","11,415.00",
L000578,HON. DOUG LAMALFA,2015,2015Q1,SUPPLIES AND MATERIALS,"4,439.88","4,439.88",
L000578,HON. DOUG LAMALFA,2015,2015Q1,EQUIPMENT,627,627,
L000564,HON. DOUG LAMBORN,2015,2015Q1,FRANKED MAIL,206.46,206.46,
L000564,HON. DOUG LAMBORN,2015,2015Q1,PERSONNEL COMPENSATION,"185,815.11","185,815.11",
L000564,HON. DOUG LAMBORN,2015,2015Q1,TRAVEL,"11,139.06","11,139.06",
L000564,HON. DOUG LAMBORN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","13,203.87","13,203.87",
L000564,HON. DOUG LAMBORN,2015,2015Q1,PRINTING AND REPRODUCTION,37.5,37.5,
L000564,HON. DOUG LAMBORN,2015,2015Q1,OTHER SERVICES,"9,665.00","9,665.00",
L000564,HON. DOUG LAMBORN,2015,2015Q1,SUPPLIES AND MATERIALS,"2,015.07","2,015.07",
L000564,HON. DOUG LAMBORN,2015,2015Q1,EQUIPMENT,657,657,
L000567,HON. LEONARD LANCE,2015,2015Q1,FRANKED MAIL,"1,001.93","1,001.93",
L000567,HON. LEONARD LANCE,2015,2015Q1,PERSONNEL COMPENSATION,"158,106.54","158,106.54",
L000567,HON. LEONARD LANCE,2015,2015Q1,TRAVEL,"5,577.95","5,577.95",
L000567,HON. LEONARD LANCE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,130.74","21,130.74",
L000567,HON. LEONARD LANCE,2015,2015Q1,PRINTING AND REPRODUCTION,725.85,725.85,
L000567,HON. LEONARD LANCE,2015,2015Q1,OTHER SERVICES,"12,807.00","12,807.00",
L000567,HON. LEONARD LANCE,2015,2015Q1,SUPPLIES AND MATERIALS,"3,870.51","3,870.51",
L000567,HON. LEONARD LANCE,2015,2015Q1,EQUIPMENT,"1,205.59","1,205.59",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,FRANKED MAIL,216.36,216.36,
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,PERSONNEL COMPENSATION,"242,177.83","242,177.83",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,TRAVEL,"7,066.79","7,066.79",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","27,095.41","27,095.41",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,PRINTING AND REPRODUCTION,289.75,289.75,
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,OTHER SERVICES,"5,655.00","5,655.00",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,SUPPLIES AND MATERIALS,"3,203.28","3,203.28",
L000559,HON. JAMES R. LANGEVIN,2015,2015Q1,EQUIPMENT,520.16,520.16,
L000560,HON. RICK LARSEN,2015,2015Q1,FRANKED MAIL,236.77,236.77,
L000560,HON. RICK LARSEN,2015,2015Q1,PERSONNEL COMPENSATION,"226,302.35","226,302.35",
L000560,HON. RICK LARSEN,2015,2015Q1,TRAVEL,"3,405.87","3,405.87",
L000560,HON. RICK LARSEN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","24,258.38","24,258.38",
L000560,HON. RICK LARSEN,2015,2015Q1,PRINTING AND REPRODUCTION,36.46,36.46,
L000560,HON. RICK LARSEN,2015,2015Q1,OTHER SERVICES,"9,915.00","9,915.00",
L000560,HON. RICK LARSEN,2015,2015Q1,SUPPLIES AND MATERIALS,"1,626.71","1,626.71",
L000560,HON. RICK LARSEN,2015,2015Q1,EQUIPMENT,360,360,
L000557,HON. JOHN B. LARSON,2015,2015Q1,FRANKED MAIL,206.71,206.71,
L000557,HON. JOHN B. LARSON,2015,2015Q1,PERSONNEL COMPENSATION,"259,814.24","259,814.24",
L000557,HON. JOHN B. LARSON,2015,2015Q1,TRAVEL,62.66,62.66,
L000557,HON. JOHN B. LARSON,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","16,737.08","16,737.08",
L000557,HON. JOHN B. LARSON,2015,2015Q1,OTHER SERVICES,"8,934.55","8,934.55",
L000557,HON. JOHN B. LARSON,2015,2015Q1,SUPPLIES AND MATERIALS,"3,958.99","3,958.99",
L000557,HON. JOHN B. LARSON,2015,2015Q1,EQUIPMENT,"2,355.08","2,355.08",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,FRANKED MAIL,"2,912.42","2,912.42",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,PERSONNEL COMPENSATION,"211,917.39","211,917.39",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,TRAVEL,"10,073.47","10,073.47",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,TRANSPORTATION OF THINGS,86.95,86.95,
L000566,HON. ROBERT E. LATTA,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,667.58","18,667.58",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,PRINTING AND REPRODUCTION,"1,070.05","1,070.05",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,OTHER SERVICES,"13,510.00","13,510.00",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,SUPPLIES AND MATERIALS,"27,657.86","27,657.86",
L000566,HON. ROBERT E. LATTA,2015,2015Q1,EQUIPMENT,"1,368.00","1,368.00",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,FRANKED MAIL,20.08,20.08,
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,PERSONNEL COMPENSATION,"155,998.63","155,998.63",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,TRAVEL,"6,732.44","6,732.44",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,534.46","21,534.46",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,PRINTING AND REPRODUCTION,"1,869.38","1,869.38",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,OTHER SERVICES,"8,482.77","8,482.77",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,SUPPLIES AND MATERIALS,"5,743.48","5,743.48",
L000581,HON. BRENDA L. LAWRENCE,2015,2015Q1,EQUIPMENT,"23,501.94","23,501.94",
L000551,HON. BARBARA LEE,2015,2015Q1,FRANKED MAIL,384.32,384.32,
L000551,HON. BARBARA LEE,2015,2015Q1,PERSONNEL COMPENSATION,"205,826.94","205,826.94",
L000551,HON. BARBARA LEE,2015,2015Q1,TRAVEL,"10,888.03","10,888.03",
L000551,HON. BARBARA LEE,2015,2015Q1,TRANSPORTATION OF THINGS,181.34,181.34,
L000551,HON. BARBARA LEE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","34,038.61","34,038.61",
L000551,HON. BARBARA LEE,2015,2015Q1,PRINTING AND REPRODUCTION,773.6,773.6,
L000551,HON. BARBARA LEE,2015,2015Q1,OTHER SERVICES,"9,371.68","9,371.68",
L000551,HON. BARBARA LEE,2015,2015Q1,SUPPLIES AND MATERIALS,"4,575.49","4,575.49",
L000551,HON. BARBARA LEE,2015,2015Q1,EQUIPMENT,630.12,630.12,
L000263,HON. SANDER M. LEVIN,2015,2015Q1,FRANKED MAIL,244.77,244.77,
L000263,HON. SANDER M. LEVIN,2015,2015Q1,PERSONNEL COMPENSATION,"251,231.58","251,231.58",
L000263,HON. SANDER M. LEVIN,2015,2015Q1,TRAVEL,"2,750.07","2,750.07",
L000263,HON. SANDER M. LEVIN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","17,027.73","17,027.73",
L000263,HON. SANDER M. LEVIN,2015,2015Q1,PRINTING AND REPRODUCTION,46.4,46.4,
L000263,HON. SANDER M. LEVIN,2015,2015Q1,OTHER SERVICES,"5,385.00","5,385.00",
L000263,HON. SANDER M. LEVIN,2015,2015Q1,SUPPLIES AND MATERIALS,"1,379.20","1,379.20",
L000263,HON. SANDER M. LEVIN,2015,2015Q1,EQUIPMENT,"1,080.83","1,080.83",
L000287,HON. JOHN LEWIS,2015,2015Q1,FRANKED MAIL,334.68,334.68,
L000287,HON. JOHN LEWIS,2015,2015Q1,PERSONNEL COMPENSATION,"233,630.94","233,630.94",
L000287,HON. JOHN LEWIS,2015,2015Q1,TRAVEL,"7,556.90","7,556.90",
L000287,HON. JOHN LEWIS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","11,150.09","11,150.09",
L000287,HON. JOHN LEWIS,2015,2015Q1,PRINTING AND REPRODUCTION,"1,441.68","1,441.68",
L000287,HON. JOHN LEWIS,2015,2015Q1,OTHER SERVICES,"5,655.00","5,655.00",
L000287,HON. JOHN LEWIS,2015,2015Q1,SUPPLIES AND MATERIALS,"12,256.34","12,256.34",
L000287,HON. JOHN LEWIS,2015,2015Q1,EQUIPMENT,"1,176.00","1,176.00",
L000582,HON. TED LIEU,2015,2015Q1,FRANKED MAIL,794.73,794.73,
L000582,HON. TED LIEU,2015,2015Q1,PERSONNEL COMPENSATION,"222,387.18","222,387.18",
L000582,HON. TED LIEU,2015,2015Q1,TRAVEL,"17,372.47","17,372.47",
L000582,HON. TED LIEU,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,589.78","22,589.78",
L000582,HON. TED LIEU,2015,2015Q1,PRINTING AND REPRODUCTION,"1,125.21","1,125.21",
L000582,HON. TED LIEU,2015,2015Q1,OTHER SERVICES,"5,792.15","5,792.15",
L000582,HON. TED LIEU,2015,2015Q1,SUPPLIES AND MATERIALS,"5,314.06","5,314.06",
L000582,HON. TED LIEU,2015,2015Q1,EQUIPMENT,"1,266.03","1,266.03",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,FRANKED MAIL,210.12,210.12,
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,PERSONNEL COMPENSATION,"199,489.98","199,489.98",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,TRAVEL,"6,605.69","6,605.69",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","29,524.57","29,524.57",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,PRINTING AND REPRODUCTION,40,40,
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,OTHER SERVICES,"12,270.00","12,270.00",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,SUPPLIES AND MATERIALS,"3,288.69","3,288.69",
L000563,HON. DANIEL LIPINSKI,2015,2015Q1,EQUIPMENT,947.04,947.04,
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,FRANKED MAIL,353.56,353.56,
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,PERSONNEL COMPENSATION,"241,592.67","241,592.67",
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,TRAVEL,"4,720.97","4,720.97",
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","14,932.52","14,932.52",
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,PRINTING AND REPRODUCTION,413.4,413.4,
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,OTHER SERVICES,"8,580.00","8,580.00",
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,SUPPLIES AND MATERIALS,"1,473.81","1,473.81",
L000554,HON. FRANK A. LOBIONDO,2015,2015Q1,EQUIPMENT,735,735,
L000565,HON. DAVID LOEBSACK,2015,2015Q1,FRANKED MAIL,378.81,378.81,
L000565,HON. DAVID LOEBSACK,2015,2015Q1,PERSONNEL COMPENSATION,"247,092.58","247,092.58",
L000565,HON. DAVID LOEBSACK,2015,2015Q1,TRAVEL,"5,780.15","5,780.15",
L000565,HON. DAVID LOEBSACK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,520.52","18,520.52",
L000565,HON. DAVID LOEBSACK,2015,2015Q1,PRINTING AND REPRODUCTION,51.9,51.9,
L000565,HON. DAVID LOEBSACK,2015,2015Q1,OTHER SERVICES,"6,229.68","6,229.68",
L000565,HON. DAVID LOEBSACK,2015,2015Q1,SUPPLIES AND MATERIALS,628.92,628.92,
L000565,HON. DAVID LOEBSACK,2015,2015Q1,EQUIPMENT,823.77,823.77,
L000397,HON. ZOE LOFGREN,2015,2015Q1,FRANKED MAIL,93.16,93.16,
L000397,HON. ZOE LOFGREN,2015,2015Q1,PERSONNEL COMPENSATION,"238,220.98","238,220.98",
L000397,HON. ZOE LOFGREN,2015,2015Q1,TRAVEL,"4,270.84","4,270.84",
L000397,HON. ZOE LOFGREN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","19,382.64","19,382.64",
L000397,HON. ZOE LOFGREN,2015,2015Q1,PRINTING AND REPRODUCTION,667.85,667.85,
L000397,HON. ZOE LOFGREN,2015,2015Q1,OTHER SERVICES,"14,099.93","14,099.93",
L000397,HON. ZOE LOFGREN,2015,2015Q1,SUPPLIES AND MATERIALS,"1,702.86","1,702.86",
L000397,HON. ZOE LOFGREN,2015,2015Q1,EQUIPMENT,"1,249.74","1,249.74",
L000576,HON. BILLY LONG,2015,2015Q1,FRANKED MAIL,570.26,570.26,
L000576,HON. BILLY LONG,2015,2015Q1,PERSONNEL COMPENSATION,"217,717.13","217,717.13",
L000576,HON. BILLY LONG,2015,2015Q1,TRAVEL,"3,765.88","3,765.88",
L000576,HON. BILLY LONG,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,138.54","15,138.54",
L000576,HON. BILLY LONG,2015,2015Q1,PRINTING AND REPRODUCTION,645.56,645.56,
L000576,HON. BILLY LONG,2015,2015Q1,OTHER SERVICES,"13,567.50","13,567.50",
L000576,HON. BILLY LONG,2015,2015Q1,SUPPLIES AND MATERIALS,"1,600.60","1,600.60",
L000576,HON. BILLY LONG,2015,2015Q1,EQUIPMENT,"1,339.99","1,339.99",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,FRANKED MAIL,-42.35,-42.35,
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,PERSONNEL COMPENSATION,"168,544.45","168,544.45",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,TRAVEL,"8,476.71","8,476.71",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","19,922.50","19,922.50",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,PRINTING AND REPRODUCTION,"5,928.47","5,928.47",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,OTHER SERVICES,"25,008.69","25,008.69",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,SUPPLIES AND MATERIALS,"47,199.63","47,199.63",
L000583,HON. BARRY LOUDERMILK,2015,2015Q1,EQUIPMENT,"12,252.15","12,252.15",
L000584,HON. MIA B. LOVE,2015,2015Q1,FRANKED MAIL,"21,911.60","21,911.60",
L000584,HON. MIA B. LOVE,2015,2015Q1,PERSONNEL COMPENSATION,"153,714.98","153,714.98",
L000584,HON. MIA B. LOVE,2015,2015Q1,TRAVEL,"17,996.26","17,996.26",
L000584,HON. MIA B. LOVE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,483.85","18,483.85",
L000584,HON. MIA B. LOVE,2015,2015Q1,PRINTING AND REPRODUCTION,"1,144.96","1,144.96",
L000584,HON. MIA B. LOVE,2015,2015Q1,OTHER SERVICES,"6,585.00","6,585.00",
L000584,HON. MIA B. LOVE,2015,2015Q1,SUPPLIES AND MATERIALS,"5,676.60","5,676.60",
L000584,HON. MIA B. LOVE,2015,2015Q1,EQUIPMENT,"2,099.27","2,099.27",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,FRANKED MAIL,660.58,660.58,
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,PERSONNEL COMPENSATION,"237,204.92","237,204.92",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,TRAVEL,"3,031.83","3,031.83",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,809.20","21,809.20",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,PRINTING AND REPRODUCTION,471.36,471.36,
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,OTHER SERVICES,"14,375.00","14,375.00",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,SUPPLIES AND MATERIALS,"6,860.25","6,860.25",
L000579,HON. ALAN S. LOWENTHAL,2015,2015Q1,EQUIPMENT,480,480,
L000480,HON. NITA N. LOWEY,2015,2015Q1,FRANKED MAIL,928.44,928.44,
L000480,HON. NITA N. LOWEY,2015,2015Q1,PERSONNEL COMPENSATION,"206,186.02","206,186.02",
L000480,HON. NITA N. LOWEY,2015,2015Q1,TRAVEL,"3,125.42","3,125.42",
L000480,HON. NITA N. LOWEY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","31,538.88","31,538.88",
L000480,HON. NITA N. LOWEY,2015,2015Q1,PRINTING AND REPRODUCTION,143.4,143.4,
L000480,HON. NITA N. LOWEY,2015,2015Q1,OTHER SERVICES,"11,655.00","11,655.00",
L000480,HON. NITA N. LOWEY,2015,2015Q1,SUPPLIES AND MATERIALS,"1,872.15","1,872.15",
L000480,HON. NITA N. LOWEY,2015,2015Q1,EQUIPMENT,925.8,925.8,
L000491,HON. FRANK D. LUCAS,2015,2015Q1,FRANKED MAIL,297.81,297.81,
L000491,HON. FRANK D. LUCAS,2015,2015Q1,PERSONNEL COMPENSATION,"215,323.11","215,323.11",
L000491,HON. FRANK D. LUCAS,2015,2015Q1,TRAVEL,"19,696.51","19,696.51",
L000491,HON. FRANK D. LUCAS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","20,708.68","20,708.68",
L000491,HON. FRANK D. LUCAS,2015,2015Q1,PRINTING AND REPRODUCTION,471.21,471.21,
L000491,HON. FRANK D. LUCAS,2015,2015Q1,OTHER SERVICES,"5,138.54","5,138.54",
L000491,HON. FRANK D. LUCAS,2015,2015Q1,SUPPLIES AND MATERIALS,"3,088.55","3,088.55",
L000491,HON. FRANK D. LUCAS,2015,2015Q1,EQUIPMENT,360,360,
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,FRANKED MAIL,914.2,914.2,
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,PERSONNEL COMPENSATION,"208,877.80","208,877.80",
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,TRAVEL,"6,521.65","6,521.65",
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,538.20","15,538.20",
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,PRINTING AND REPRODUCTION,332.63,332.63,
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,OTHER SERVICES,"9,880.98","9,880.98",
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,SUPPLIES AND MATERIALS,568.37,568.37,
L000569,HON. BLAINE LUETKEMEYER,2015,2015Q1,EQUIPMENT,138,138,
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,FRANKED MAIL,134.92,134.92,
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,PERSONNEL COMPENSATION,"232,626.66","232,626.66",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,TRAVEL,"4,143.22","4,143.22",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","16,142.92","16,142.92",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,PRINTING AND REPRODUCTION,"1,523.20","1,523.20",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,OTHER SERVICES,"10,916.00","10,916.00",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,SUPPLIES AND MATERIALS,"3,610.21","3,610.21",
L000580,HON. MICHELLE LUJAN GRISHAM,2015,2015Q1,EQUIPMENT,900,900,
L000570,HON. BEN RAY LUJAN,2015,2015Q1,FRANKED MAIL,-98.39,-98.39,
