BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
K000391,2017 HON. RAJA KRISHNAMOORTHI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33422.92,4813.93
K000391,2017 HON. RAJA KRISHNAMOORTHI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3128.22,1042.74
K000391,2017 HON. RAJA KRISHNAMOORTHI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,716482.61,247194.39
K000391,2017 HON. RAJA KRISHNAMOORTHI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,716482.61,247194.39
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1484.66,671.31
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,663960.54,223490
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36386.65,17542.01
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,94664.03,27971.19
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2744.66,1762.97
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27238.23,11276
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11173.29,2756.99
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2036.94,825.18
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,839689,286295.65
K000382,2017 HON. ANN M. KUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,839689,286295.65
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14462.11,14061.47
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,603291.16,196062.1
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36891.69,9453.48
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65065.15,23357.96
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25161.28,22915.91
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32265,10005
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22447.88,2462.23
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16560.43,9359.71
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,816144.7,287677.86
K000392,2017 HON. DAVID KUSTOFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,816144.7,287677.86
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8516.13,7669.08
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,710429.66,244168.23
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50658.22,20065.16
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,62948.79,21722.37
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1070.32,466.65
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33727.13,9822.5
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13452.8,1171.94
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4581.45,3811.47
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,885384.5,308897.4
L000573,2017 HON. RAUL R. LABRADOR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,885384.5,308897.4
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,29654.96,7313.79
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,604640.33,202211.09
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28890.22,11639.05
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,87676.73,25877.16
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6011.89,4157.52
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41529.38,14809.72
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4446.65,1731.43
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4077.44,1542.44
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,806927.6,269282.2
L000585,2017 HON. DARIN LAHOOD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,806927.6,269282.2
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18147.69,702.71
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,749884.8,253227.24
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58001.26,28521.55
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,72114.79,21422.54
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2258.4,1586.02
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39055.71,11890
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16203.06,3346.82
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3197.86,1943.86
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,958863.57,322640.74
L000578,2017 HON. DOUG LAMALFA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,958863.57,322640.74
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1262.9,459.48
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,667172.44,227483.83
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28684.67,15648.58
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64215.76,47000.41
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1615.8,730.95
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36079,13837
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9883.06,4571.24
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2406.78,802.26
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,811320.41,310533.75
L000564,2017 HON. DOUG LAMBORN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,811320.41,310533.75
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,699.43,229.02
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,619333.53,214354.34
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24809.17,10837.66
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88511.38,37656.87
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,921.25,133.67
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39994.52,10425
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12483.51,2751.08
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6146.73,1311.15
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,792899.52,277698.79
L000567,2017 HON. LEONARD LANCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,792899.52,277698.79
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1377.11,381.27
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,741695.18,247599.99
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17119.71,4650.09
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89051.71,29949.83
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4372.24,147.63
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18353.39,6030
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13428.42,3901.21
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1476,492
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,886873.76,293152.02
L000559,2017 HON. JAMES R. LANGEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,886873.76,293152.02
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2291.12,1338.72
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,670378.38,233175.03
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20919.62,7207.35
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,78086.37,25868.34
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1402.56,786.49
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34268.93,11366.02
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12504.61,2689.2
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1008,288
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,820859.59,282719.15
L000560,2017 HON. RICK LARSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,820859.59,282719.15
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1067.71,368.68
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,752318.75,270237.7
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4231.71,681.43
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65094.47,21869.94
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1920.65,646.95
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22034.58,7619.33
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21045.3,6436.86
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8254.72,3477.13
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,875967.89,311338.02
L000557,2017 HON. JOHN B. LARSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,875967.89,311338.02
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4290.88,1135.17
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,700599.32,234313.86
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39268.97,15241.44
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,82666.7,30448.65
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2530.85,491.25
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45041,13035
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16547.08,7859.39
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8673.2,3444
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,899618,305968.76
L000566,2017 HON. ROBERT E. LATTA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,899618,305968.76
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,437.68,210.61
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,660079.26,245496.98
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38349.63,13017.55
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,85671.02,30416.96
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5674.65,1174.02
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22845.61,5580
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18269.55,7845.34
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7562.42,1342.14
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,838889.82,305083.6
L000581,2017 HON. BRENDA L. LAWRENCE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,838889.82,305083.6
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17534.64,16863.72
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,628054.1,249919.67
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39622.23,15596.86
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,53147.12,18522.6
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,27687.55,24846.89
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16809.55,5649.55
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,24544.62,4292.22
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,18070.71,5374.67
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,825470.52,341066.18
L000586,2017 HON. AL LAWSON  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,825470.52,341066.18
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1315.28,341.86
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,687508.99,233306.09
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50149.59,15148.92
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,117427.43,41364.77
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3626.24,1793.52
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,56551.71,17821.01
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20134.7,5863.73
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3033.56,676.56
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,939747.5,316316.46
L000551,2017 HON. BARBARA LEE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,939747.5,316316.46
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,830.75,372.83
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,795196.06,247346.96
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17611.9,5074.32
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69526.25,25782.82
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,387.36,154.6
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16155,5385
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4918.05,1517.29
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3453.65,1191
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,908079.02,286824.82
L000263,2017 HON. SANDER M. LEVIN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,908079.02,286824.82
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18552.06,17445.13
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,523269.47,185608.34
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30282.76,14429.96
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55584.58,16654.22
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32922.16,29809.57
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34801.54,12735
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10172.03,1496.1
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,30418.08,867.09
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,736002.68,279045.41
L000587,2017 HON. JASON LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,736002.68,279045.41
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,430.16,132.77
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,668062.01,209126.16
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32690.98,10203.88
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,105406.43,34011.9
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2043.55,1195.84
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20639.43,8253.75
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,37186.89,8312.96
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,33032.5,5223.81
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,899491.95,276461.07
L000287,2017 HON. JOHN LEWIS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,899491.95,276461.07
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2535.52,1540.12
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,711458.4,244105.56
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31463.45,10227.29
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,100443.23,29386.02
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5083.54,2484
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32390.7,9549.5
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8950.3,3168.34
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3191.45,1060.48
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,895516.59,301521.31
L000582,2017 HON. TED LIEU,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,895516.59,301521.31
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21603.97,21109.29
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,614338.87,213612.77
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17795.76,7480.92
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,91977.07,34516.6
